,state,county,candidate,party,total_votes,won,county_st,just_co
261,Florida,Hendry County,Don Blankenship,CST,7,False,"Hendry County, Florida",Hendry 
262,Florida,Hendry County, Write-ins,WRI,1,False,"Hendry County, Florida",Hendry 
263,Florida,Hernando County,Donald Trump,REP,70412,True,"Hernando County, Florida",Hernando 
264,Florida,Hernando County,Joe Biden,DEM,37519,False,"Hernando County, Florida",Hernando 
265,Florida,Hernando County,Jo Jorgensen,LIB,686,False,"Hernando County, Florida",Hernando 
266,Florida,Hernando County,Howie Hawkins,GRN,151,False,"Hernando County, Florida",Hernando 
267,Florida,Hernando County,Rocky De La Fuente,ALI,62,False,"Hernando County, Florida",Hernando 
268,Florida,Hernando County,Gloria La Riva,PSL,44,False,"Hernando County, Florida",Hernando 
269,Florida,Hernando County,Don Blankenship,CST,40,False,"Hernando County, Florida",Hernando 
270,Florida,Hernando County, Write-ins,WRI,8,False,"Hernando County, Florida",Hernando 
271,Florida,Highlands County,Donald Trump,REP,34873,True,"Highlands County, Florida",Highlands 
272,Florida,Highlands County,Joe Biden,DEM,16938,False,"Highlands County, Florida",Highlands 
273,Florida,Highlands County,Jo Jorgensen,LIB,223,False,"Highlands County, Florida",Highlands 
274,Florida,Highlands County,Howie Hawkins,GRN,53,False,"Highlands County, Florida",Highlands 
275,Florida,Highlands County,Don Blankenship,CST,28,False,"Highlands County, Florida",Highlands 
276,Florida,Highlands County,Rocky De La Fuente,ALI,28,False,"Highlands County, Florida",Highlands 
277,Florida,Highlands County,Gloria La Riva,PSL,24,False,"Highlands County, Florida",Highlands 
278,Florida,Highlands County, Write-ins,WRI,3,False,"Highlands County, Florida",Highlands 
279,Florida,Hillsborough County,Joe Biden,DEM,376367,True,"Hillsborough County, Florida",Hillsborough 
280,Florida,Hillsborough County,Donald Trump,REP,327398,False,"Hillsborough County, Florida",Hillsborough 
281,Florida,Hillsborough County,Jo Jorgensen,LIB,5665,False,"Hillsborough County, Florida",Hillsborough 
282,Florida,Hillsborough County,Howie Hawkins,GRN,1187,False,"Hillsborough County, Florida",Hillsborough 
283,Florida,Hillsborough County,Rocky De La Fuente,ALI,574,False,"Hillsborough County, Florida",Hillsborough 
284,Florida,Hillsborough County,Gloria La Riva,PSL,529,False,"Hillsborough County, Florida",Hillsborough 
285,Florida,Hillsborough County,Don Blankenship,CST,270,False,"Hillsborough County, Florida",Hillsborough 
286,Florida,Hillsborough County, Write-ins,WRI,73,False,"Hillsborough County, Florida",Hillsborough 
287,Florida,Holmes County,Donald Trump,REP,8080,True,"Holmes County, Florida",Holmes 
288,Florida,Holmes County,Joe Biden,DEM,924,False,"Holmes County, Florida",Holmes 
289,Florida,Holmes County,Jo Jorgensen,LIB,48,False,"Holmes County, Florida",Holmes 
290,Florida,Holmes County,Howie Hawkins,GRN,9,False,"Holmes County, Florida",Holmes 
291,Florida,Holmes County,Don Blankenship,CST,4,False,"Holmes County, Florida",Holmes 
292,Florida,Holmes County,Rocky De La Fuente,ALI,2,False,"Holmes County, Florida",Holmes 
293,Florida,Holmes County,Gloria La Riva,PSL,1,False,"Holmes County, Florida",Holmes 
294,Florida,Indian River County,Donald Trump,REP,58872,True,"Indian River County, Florida",Indian River 
295,Florida,Indian River County,Joe Biden,DEM,37844,False,"Indian River County, Florida",Indian River 
296,Florida,Indian River County,Jo Jorgensen,LIB,534,False,"Indian River County, Florida",Indian River 
297,Florida,Indian River County,Howie Hawkins,GRN,117,False,"Indian River County, Florida",Indian River 
298,Florida,Indian River County,Rocky De La Fuente,ALI,43,False,"Indian River County, Florida",Indian River 
299,Florida,Indian River County,Don Blankenship,CST,38,False,"Indian River County, Florida",Indian River 
300,Florida,Indian River County,Gloria La Riva,PSL,33,False,"Indian River County, Florida",Indian River 
